	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
165	19950312-M-Indian_Wells_Masters-F-Pete_Sampras-Andre_Agassi	15	6	9	13	24.0	19.0	13	11	14	15	27.0	26.0
166	19950319-M-Miami_Masters-F-Pete_Sampras-Andre_Agassi	9	6	18	17	27.0	23.0	14	8	18	22	32.0	30.0
167	19950430-M-Monte_Carlo_Masters-F-Boris_Becker-Thomas_Muster	36	11	16	34	52.0	45.0	19	18	8	15	27.0	33.0
168	19950514-M-Hamburg_Masters-F-Andrei_Medvedev-Goran_Ivanisevic	9	7	9	11	18.0	18.0	13	3	26	4	39.0	7.0
169	19950522-M-Rome_Masters-F-Sergi_Bruguera-Thomas_Muster	28	6	19	23	47.0	29.0	23	14	28	24	51.0	38.0
170	19950611-M-Roland_Garros-F-Michael_Chang-Thomas_Muster	18	5	22	21	40.0	26.0	13	7	19	14	32.0	21.0
171	19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker	10	18	3	17	13.0	35.0	7	8	7	19	14.0	27.0
172	19950730-M-Canada_Masters-F-Pete_Sampras-Andre_Agassi	18	9	13	18	31.0	27.0	9	4	14	18	23.0	22.0
173	19950813-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi	13	6	10	10	23.0	16.0	9	7	15	21	24.0	28.0
174	19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi	16	9	17	19	33.0	28.0	12	9	19	14	31.0	23.0
175	19950929-M-Basel-QF-Stefan_Edberg-Boris_Becker	10	7	4	19	14.0	26.0	6	7	6	10	12.0	17.0
176	19951105-M-Paris_Masters-F-Pete_Sampras-Boris_Becker	14	20	12	20	26.0	40.0	13	8	12	18	25.0	26.0
177	19951119-M-Tour_Finals-F-Michael_Chang-Boris_Becker	6	1	6	20	12.0	21.0	11	11	17	20	28.0	31.0
178	19960119-M-Australian_Open-R32-Mark_Philippoussis-Pete_Sampras	9	15	8	18	17.0	33.0	10	9	5	21	15.0	30.0
179	19960126-M-Australian_Open-SF-Mark_Woodforde-Boris_Becker	4	11	5	12	9.0	23.0	8	11	5	18	13.0	29.0
180	19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker	12	13	6	9	18.0	22.0	18	8	19	22	37.0	30.0
181	19960428-M-Monte_Carlo_Masters-F-Albert_Costa-Thomas_Muster	32	15	33	42	65.0	57.0	22	13	20	21	42.0	34.0
182	19960519-M-Rome_Masters-F-Richard_Krajicek-Thomas_Muster	21	18	17	30	38.0	48.0	9	9	7	9	16.0	18.0
183	19960609-M-Roland_Garros-F-Michael_Stich-Yevgeny_Kafelnikov	33	18	16	13	49.0	31.0	31	14	16	12	47.0	26.0
184	19960616-M-Queens_Club-F-Stefan_Edberg-Boris_Becker	6	8	4	16	10.0	24.0	3	14	3	12	6.0	26.0
185	19960707-M-Wimbledon-F-Richard_Kraijcek-Malivai_Washington	9	6	7	23	16.0	29.0	8	11	8	12	16.0	23.0
186	19960707-M-Wimbledon-F-Richard_Krajicek-Malivai_Washington	9	6	7	23	16.0	29.0	8	11	8	12	16.0	23.0
187	19960804-M-Olympics-F-Sergi_Bruguera-Andre_Agassi	14	1	12	5	26.0	6.0	10	5	10	8	20.0	13.0
188	19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi	10	7	6	15	16.0	22.0	10	6	12	16	22.0	22.0
189	19960825-M-Canada_Masters-F-Todd_Woodbridge-Wayne_Ferreira	13	2	12	7	25.0	9.0	7	3	8	3	15.0	6.0
190	19960908-M-US_Open-F-Pete_Sampras-Michael_Chang	6	6	14	20	20.0	26.0	7	11	8	10	15.0	21.0
191	19961027-M-Stuttgart_Masters-F-Pete_Sampras-Boris_Becker	15	20	17	19	32.0	39.0	13	9	9	12	22.0	21.0
192	19961105-M-Paris_Masters-F-Yevgeny_Kafelnikov-Thomas_Enqvist	13	2	9	5	22.0	7.0	10	6	8	11	18.0	17.0
193	19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi	5	4	5	13	10.0	17.0	8	1	6	2	14.0	3.0
194	19961124-M-Tour_Finals-F-Boris_Becker-Pete_Sampras	21	19	8	21	29.0	40.0	20	17	14	33	34.0	50.0
