	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
684	20150515-M-Rome_Masters-QF-Roger_Federer-Tomas_Berdych.html	0.5364238410596026	0.39	0.1	0.41	0.46357615894039733	0.02	0.08	0.4594594594594595	0.38	0.07	0.26	0.5405405405405406	0.01	0.29
685	20160921-M-St_Petersburg-R32-Mikhail_Youzhny-Janko_Tipsarevic.html	0.6231003039513677	0.41	0.1	0.36	0.3768996960486322	0.0	0.13	0.5375375375375375	0.46	0.11	0.25	0.4624624624624625	0.03	0.16
686	20160421-M-Barcelona-R16-Feliciano_Lopez-Philipp_Kohlschreiber.html	0.4665012406947891	0.42	0.08	0.31	0.533498759305211	0.02	0.16	0.43099273607748184	0.44	0.15	0.27	0.5690072639225182	0.02	0.11
687	20180914-M-Davis_Cup_World_Group_PO-RR-Djurabek_Karimov-Cameron_Norrie.html	0.4572713643178411	0.34	0.11	0.39	0.5412293853073463	0.02	0.14	0.4894894894894895	0.46	0.07	0.31	0.5105105105105106	0.01	0.15
688	20080420-M-Monte_Carlo_Masters-F-Rafael_Nadal-Roger_Federer.html	0.4088235294117647	0.52	0.08	0.27	0.5911764705882353	0.05	0.09	0.5420289855072464	0.35	0.13	0.32	0.4579710144927536	0.07	0.13
689	20180211-M-Montpellier-F-Lucas_Pouille-Richard_Gasquet.html	0.449438202247191	0.34	0.11	0.28	0.550561797752809	0.06	0.21	0.5340909090909091	0.47	0.06	0.31	0.4659090909090909	0.0	0.16
690	20151017-M-Shanghai_Masters-SF-Andy_Murray-Novak_Djokovic.html	0.5625	0.53	0.13	0.23	0.4375	0.0	0.11	0.5699481865284974	0.47	0.2	0.24	0.43005181347150256	0.01	0.07
691	20150611-M-s_Hertogenbosch-R16-Jurgen_Melzer-David_Goffin.html	0.5177664974619289	0.45	0.13	0.32	0.48223350253807107	0.0	0.1	0.3877551020408163	0.34	0.21	0.25	0.6122448979591837	0.03	0.17
692	20171022-M-Antwerp-F-Jo_Wilfried_Tsonga-Diego_Sebastian_Schwartzman.html	0.38738738738738737	0.42	0.12	0.2	0.6126126126126126	0.07	0.2	0.4675925925925926	0.46	0.06	0.27	0.5324074074074074	0.02	0.19
693	19940424-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Andrei_Medvedev.html	0.48514851485148514	0.42	0.13	0.24	0.5148514851485149	0.05	0.16	0.5411764705882353	0.52	0.11	0.23	0.4588235294117647	0.04	0.11
694	20110401-M-Miami_Masters-SF-Roger_Federer-Rafael_Nadal.html	0.43137254901960786	0.39	0.14	0.22	0.5686274509803921	0.1	0.15	0.46938775510204084	0.45	0.2	0.17	0.5306122448979592	0.04	0.14
695	20090228-M-Dubai-F-Novak_Djokovic-David_Ferrer.html	0.5286103542234333	0.44	0.11	0.31	0.4713896457765668	0.02	0.12	0.37950138504155123	0.38	0.09	0.32	0.6204986149584487	0.04	0.18
696	20120802-M-Olympics-QF-Nicolas_Almagro-Andy_Murray.html	0.3389830508474576	0.44	0.19	0.2	0.6610169491525424	0.02	0.15	0.39849624060150374	0.52	0.17	0.22	0.6015037593984962	0.01	0.08
